experiment_id,dataset,model,num_layers,hidden_channels,seed
0,Cora,GCN,2,64,1
1,Cora,GCN,2,128,1
2,Cora,GCN,4,64,1
3,Cora,GCN,4,128,1
4,Cora,GAT,2,64,1
5,Cora,GAT,2,128,1
6,Cora,GAT,4,64,1
7,Cora,GAT,4,128,1
8,Cora,GraphSAGE,2,64,1
9,Cora,GraphSAGE,2,128,1
10,Cora,GraphSAGE,4,64,1
11,Cora,GraphSAGE,4,128,1
12,Cora,GCNPairNorm,2,64,1
13,Cora,GCNPairNorm,2,128,1
14,Cora,GCNPairNorm,4,64,1
15,Cora,GCNPairNorm,4,128,1
16,Cora,GATPairNorm,2,64,1
17,Cora,GATPairNorm,2,128,1
18,Cora,GATPairNorm,4,64,1
19,Cora,GATPairNorm,4,128,1
20,Cora,GraphSAGEPairNorm,2,64,1
21,Cora,GraphSAGEPairNorm,2,128,1
22,Cora,GraphSAGEPairNorm,4,64,1
23,Cora,GraphSAGEPairNorm,4,128,1
24,CiteSeer,GCN,2,64,1
25,CiteSeer,GCN,2,128,1
26,CiteSeer,GCN,4,64,1
27,CiteSeer,GCN,4,128,1
28,CiteSeer,GAT,2,64,1
29,CiteSeer,GAT,2,128,1
30,CiteSeer,GAT,4,64,1
31,CiteSeer,GAT,4,128,1
32,CiteSeer,GraphSAGE,2,64,1
33,CiteSeer,GraphSAGE,2,128,1
34,CiteSeer,GraphSAGE,4,64,1
35,CiteSeer,GraphSAGE,4,128,1
36,CiteSeer,GCNPairNorm,2,64,1
37,CiteSeer,GCNPairNorm,2,128,1
38,CiteSeer,GCNPairNorm,4,64,1
39,CiteSeer,GCNPairNorm,4,128,1
40,CiteSeer,GATPairNorm,2,64,1
41,CiteSeer,GATPairNorm,2,128,1
42,CiteSeer,GATPairNorm,4,64,1
43,CiteSeer,GATPairNorm,4,128,1
44,CiteSeer,GraphSAGEPairNorm,2,64,1
45,CiteSeer,GraphSAGEPairNorm,2,128,1
46,CiteSeer,GraphSAGEPairNorm,4,64,1
47,CiteSeer,GraphSAGEPairNorm,4,128,1
48,PubMed,GCN,2,64,1
49,PubMed,GCN,2,128,1
50,PubMed,GCN,4,64,1
51,PubMed,GCN,4,128,1
52,PubMed,GAT,2,64,1
53,PubMed,GAT,2,128,1
54,PubMed,GAT,4,64,1
55,PubMed,GAT,4,128,1
56,PubMed,GraphSAGE,2,64,1
57,PubMed,GraphSAGE,2,128,1
58,PubMed,GraphSAGE,4,64,1
59,PubMed,GraphSAGE,4,128,1
60,PubMed,GCNPairNorm,2,64,1
61,PubMed,GCNPairNorm,2,128,1
62,PubMed,GCNPairNorm,4,64,1
63,PubMed,GCNPairNorm,4,128,1
64,PubMed,GATPairNorm,2,64,1
65,PubMed,GATPairNorm,2,128,1
66,PubMed,GATPairNorm,4,64,1
67,PubMed,GATPairNorm,4,128,1
68,PubMed,GraphSAGEPairNorm,2,64,1
69,PubMed,GraphSAGEPairNorm,2,128,1
70,PubMed,GraphSAGEPairNorm,4,64,1
71,PubMed,GraphSAGEPairNorm,4,128,1
